"Highest temperature among monthly averages of daily highest 【ﾟC】"
"時点","Tokyo-to"
"1975","31.5"
"1976","29.1"
"1977","29.8"
"1978","33.0"
"1979","31.0"
"1980","27.4"
"1981","30.0"
"1982","30.2"
"1983","31.0"
"1984","32.4"
"1985","31.6"
"1986","30.4"
"1987","30.8"
"1988","30.2"
"1989","30.5"
"1990","32.4"
"1991","30.1"
"1992","30.4"
"1993","28.0"
"1994","32.9"
"1995","33.7"
"1996","30.0"
"1997","30.7"
"1998","31.0"
"1999","32.3"
"2000","32.4"
"2001","33.0"
"2002","32.1"
"2003","29.5"
"2004","33.1"
"2005","31.8"
"2006","31.1"
"2007","33.0"
"2008","30.9"
"2009","30.1"
"2010","33.5"
"2011","31.2"
"2012","33.1"
"2013","33.2"
"2014","31.2"
"2015","30.5"
"2016","31.6"
"2017","31.8"
"2018","32.7"
"2019","32.8"
"2020","34.1"
"2021","31.6"
"2022","32.0"
"2023","34.3"
