"Lowest temperature among monthly averages of daily lowest 【ﾟC】"
"時点","Tokyo-to"
"1975","0.8"
"1976","0.7"
"1977","0.0"
"1978","0.6"
"1979","2.4"
"1980","1.3"
"1981","0.6"
"1982","1.8"
"1983","2.4"
"1984","0.0"
"1985","0.5"
"1986","0.8"
"1987","1.9"
"1988","1.1"
"1989","4.3"
"1990","1.7"
"1991","2.5"
"1992","3.1"
"1993","3.3"
"1994","2.1"
"1995","2.5"
"1996","1.7"
"1997","2.7"
"1998","1.9"
"1999","2.5"
"2000","2.4"
"2001","1.7"
"2002","3.4"
"2003","2.0"
"2004","3.1"
"2005","2.5"
"2006","2.0"
"2007","4.6"
"2008","1.9"
"2009","3.5"
"2010","3.0"
"2011","1.5"
"2012","1.8"
"2013","1.8"
"2014","2.5"
"2015","1.8"
"2016","1.8"
"2017","1.7"
"2018","0.6"
"2019","1.4"
"2020","3.7"
"2021","1.3"
"2022","1.1"
"2023","1.8"
